Lp.;Nazwa w≥asna;Telefon;Email;Charakter us≥ug;Kategoria obiektu;Rodzaj obiektu;Adres
1;DWORZEC BESKIDZKI;033/ 864-63-05;;sta≥y;;;34-373 MilÛwka, -
2;SZYNDZIELNIA;033/ 814-40-47;;sta≥y;;;43-309 Bielsko-Bia≥a, -
3;HALA LIPOWSKA;033/ 861-31-41;;sta≥y;;;34-371 Z≥atna, -
4;RYSIANKA;033/ 861-23-49;;sta≥y;;;34-371 Ujso≥y, -
5;NA MAGURCE;033/ 817-04-21;info@ magurka-beskidy.pl;sta≥y;;;43-386 Grodziec, -
6;NA PRZEWGIBKU;033/ 864-41-39;;sta≥y;;;34-385 , -
7;R”WNICA;033/ 854-24-48;PTTK@PTTK.Katowice.pl;sta≥y;;;40-016 Katowice, Damrota 8
8;SCHR. PTTK STARE WIERCHY;(0 18) 267-52-9;;sta≥y;;;34-404 Klikuszowa, Klikuszowa
9;STOØEK;033/ 855-27-10;;sta≥y;;;43-460 Wis≥a, Turystyczna 19
10;SOSZ”W;33-855-30-46;soszÛw@wisla.pl;sta≥y;;;43-460 Wis≥a, Soszowskiej 10
11;Schronisko;566 780 927;;sezonowy;;;87-134 Z≥awieú Wielka, Szkolna 6
12;GRYF;(+48-48) 365-12;;sta≥y;;hotel;26-600 , Pu≥awska 8
13;Naramowice;(61) 822 75 43;hotel@naramowice.pl;sta≥y;;hotel;60-619 PoznaÒ, Naramowicka 150
14;RADISSON BLU;(12) 618-88-88;Sales.Krakow@radissonsas.com;sta≥y;*****;hotel;31-101 KrakÛw, ul. Straszewskiego 17
15;"""PODEWILS""";0 - 58 300 -;gdansk@podewils-hotel.pl;sta≥y;*****;hotel;80-755 GdaÒsk, Szafarnia 2-3
16;RYSY;(0 18)201-18-00;hotelrysy@hotelrysy.pl;sta≥y;*****;hotel;34-500 Zakopane, ul. GoszczyÒskiego 7
17;"""SOFITEL GRAND SOPOT""";0 - 58 520 -;sof.grand.sopot@orbis.pl;sta≥y;*****;hotel;81-718 Sopot, PowstaÒcÛw Warszawy 12/14
18;BELWEDER;33 854-85-00;hotel@ hotelbelweder.pl;sta≥y;*****;hotel;43-450 UstroÒ, Zdrojowa 15
19;HOTEL SPA DR IRENA ERIS WZG”RZA DYLEWSKIE;89-647-11-11;wzgorza@drirenaerisspa.com;sta≥y;*****;hotel;14-100 Wysoka Wieú, 22
20;REZYDENCJA NOSALOWY DW”R;18 202-24-10;rezerwacja@nosalowy-dwor.eu;sta≥y;*****;hotel;34-500 Zakopane, ul. Balzera 21E
21;MODRZEWIE PARK HOTEL;(18) 540-04-04;info@mparkhotel.pl;sta≥y;*****;hotel;34-460 Szczawnica, ul. Park GÛrny 2
22;HOTEL SPA DR IRENA ERIS POLANICA ZDR”J;746624000;polanica@drirenaerisspa.com;sta≥y;*****;hotel;57-320 Polanica-ZdrÛj, D BOWA 19B
23;GRAPE;717360400;biuro@grape.hotel.pl;sta≥y;*****;hotel;51-616 Wroc≥aw, PARKOWA 8
